City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,San Isidro,PE,2020-11-03 02:01:47,-12.12,-77.05,64.4,77,75,9.17
70,Sept-Iles,CA,2020-11-03 01:59:55,50.2,-66.38,28.4,68,100,21.92
71,Sabang,ID,2020-11-03 02:01:47,5.89,95.32,81.66,77,89,4.21
72,Magadan,RU,2020-11-03 02:01:48,59.57,150.8,35.65,90,100,31.68
73,Norman Wells,CA,2020-11-03 02:01:48,65.28,-126.83,8.6,92,90,2.24
74,Iqaluit,CA,2020-11-03 01:57:22,63.75,-68.51,17.6,78,90,18.34
75,Bagotville,AU,2020-11-03 02:01:48,-28.98,153.42,73.99,60,75,18.34
76,Antiguo Morelos,MX,2020-11-03 02:01:49,22.55,-99.08,66.13,69,65,1.45
77,Port Elizabeth,ZA,2020-11-03 02:01:49,-33.92,25.57,64.4,88,0,12.75
78,Machilipatnam,IN,2020-11-03 02:01:49,16.17,81.13,78.8,88,20,4.29
79,Athens,GR,2020-11-03 01:57:37,37.98,23.72,62.01,87,20,3.02
80,Gazanjyk,TM,2020-11-03 02:01:49,39.24,55.52,60.75,29,68,8.55
81,Mayo,US,2020-11-03 02:01:49,38.89,-76.51,43.0,41,1,3.36
82,Polunochnoye,RU,2020-11-03 02:01:49,60.87,60.42,21.94,97,9,3.6
83,Busselton,AU,2020-11-03 02:00:26,-33.65,115.33,63.0,80,68,5.01
84,Barinas,VE,2020-11-03 02:01:50,8.62,-70.21,74.01,91,77,0.92
85,Noyabrsk,RU,2020-11-03 02:01:50,63.2,75.45,12.22,96,2,8.79
86,Nuuk,GL,2020-11-03 02:01:51,64.18,-51.72,26.6,49,100,16.11
87,Praia Da Vitoria,PT,2020-11-03 02:01:51,38.73,-27.07,60.8,72,75,13.8
88,Manggar,ID,2020-11-03 02:01:51,-2.88,108.27,82.4,76,100,3.51
89,Cidreira,BR,2020-11-03 02:01:51,-30.18,-50.21,62.2,76,4,6.55
90,Ternate,ID,2020-11-03 02:01:51,0.8,127.4,77.56,84,100,0.89
91,Puerto Ayora,EC,2020-11-03 02:01:52,-0.74,-90.35,69.01,96,96,5.99
92,Pevek,RU,2020-11-03 02:01:46,69.7,170.31,9.59,94,100,22.48
93,Laguna,US,2020-11-03 02:01:52,38.42,-121.42,77.0,37,1,4.14
94,Port Hardy,CA,2020-11-03 02:01:32,50.7,-127.42,50.0,100,90,24.16
95,Hamilton,US,2020-11-03 01:58:30,39.18,-84.53,42.01,35,75,8.05
96,Beringovskiy,RU,2020-11-03 02:00:31,63.05,179.32,28.62,89,100,8.25
97,Meulaboh,ID,2020-11-03 02:01:53,4.14,96.13,79.41,87,99,4.03
98,Jaicos,BR,2020-11-03 02:01:53,-7.36,-41.14,73.8,91,100,2.86
99,Berlevag,NO,2020-11-03 02:01:11,70.86,29.09,44.38,82,82,26.35
100,Hobyo,SO,2020-11-03 02:01:53,5.35,48.53,79.83,81,76,11.97
